Budget Year Name,Account Type,Balance Type,Current Stage Desc,Unit And Desc,DEPT,Subunit And Desc,Child Fund And Desc,Child Project And Desc,Program And Desc,Child Acct And Desc, Year Amount SUM 
FY10-11,Expense,Estimate,pre-test Midcycle,U10751 - Traffic BFO,Police Services Agency,107510 - Traffic BFO,1010 - General Fund: General Purpose,A295910 - PORT OVERWEIGHT,PS14 - TRAFFIC OPERATIONS,51112 - Sworn: Regular," 156,980 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10211 - Bureau of Investigation: Administration,Police Services Agency,102110 - Bureau of Investigation: Administration,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51112 - Sworn: Regular," 150,150 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10721 - Police Area 2,Police Services Agency,107210 - Police Area 2,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS11 - PATROL AREA 1,51112 - Sworn: Regular," 9,645,350 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10641 - Police Information Tech,Police Services Agency,106410 - Police Information Tech,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51112 - Sworn: Regular," 247,540 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10311 - Bureau of Services: Administration,Police Services Agency,103110 - Bureau of Services: Administration,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51112 - Sworn: Regular," 350,500 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10343 - Training,Police Services Agency,103430 - Training Unit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS09 - POLICE TRAINING,51112 - Sworn: Regular," 1,465,240 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10231 - Criminal Investigations,Police Services Agency,102310 - Criminal Investigation,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,51112 - Sworn: Regular," 218,190 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10324 - Records,Police Services Agency,103242 - Records Warrants,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS07 - POLICE RECORDS,51112 - Sworn: Regular," 78,490 "
FY10-11,Expense,Estimate,pre-test Midcycle,20815 - Fire: U.S.A.R.,Fire Services Agency,No SubUnit,2123 - US Dept of Homeland Security,G364530 - SUASI 08 TRAINING,PS21 - OFFICE OF EMERGENCY SERVICES/HOMELAND SECURITY,51112 - Sworn: Regular," 61,090 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10771 - Special Operations,Police Services Agency,107710 - Special Operations,2123 - US Dept of Homeland Security,A284310 - DHS- FEDERAL EQUITABLE SHARING AGREEMENT,PS13 - SPECIAL OPERATIONS,51112 - Sworn: Regular," 65,510 "
FY10-11,Expense,Estimate,pre-test Midcycle,20815 - Fire: U.S.A.R.,Fire Services Agency,No SubUnit,2124 - Federal Emergency Management Agency (FEMA),G364910 - USAR 2010-2011,PS18 - SPECIAL OPERATIONS-EMERGENCY RESPONSE,51112 - Sworn: Regular," 133,750 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10751 - Traffic BFO,Police Services Agency,107510 - Traffic BFO,2172 - Alameda County: Vehicle Abatement Authority,P36000 - ABAN VEHICLE ABATEMENT,PS14 - TRAFFIC OPERATIONS,51112 - Sworn: Regular," 78,490 "
FY10-11,Expense,Estimate,pre-test Midcycle,61332 - Dimond Branch,Library,No SubUnit,2240 - Library Services Retention-Enhancement,0000000 - UNDETERMINED PROJECT,NB17 - BRANCH LIBRARY SERVICES,51112 - Sworn: Regular," 11,880 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10771 - Special Operations,Police Services Agency,107710 - Special Operations,2607 - Department of Justice-COPS Hiring Recovery Program (ARRA),0000000 - UNDETERMINED PROJECT,PS11 - PATROL AREA 1,51112 - Sworn: Regular," 62,380 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10711 - Police Area 1,Police Services Agency,107110 - Police Area 1,2607 - Department of Justice-COPS Hiring Recovery Program (ARRA),0000000 - UNDETERMINED PROJECT,PS11 - PATROL AREA 1,51112 - Sworn: Regular," 815,730 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10112 - Internal Affairs,Police Services Agency,101120 - Internal Affairs,2607 - Department of Justice-COPS Hiring Recovery Program (ARRA),0000000 - UNDETERMINED PROJECT,PS02 - INTERNAL AFFAIRS,51112 - Sworn: Regular," 62,270 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10731 - Police Area 3,Police Services Agency,107310 - Police Area 3,2607 - Department of Justice-COPS Hiring Recovery Program (ARRA),0000000 - UNDETERMINED PROJECT,PS11 - PATROL AREA 1,51112 - Sworn: Regular," 622,700 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10721 - Police Area 2,Police Services Agency,107210 - Police Area 2,2607 - Department of Justice-COPS Hiring Recovery Program (ARRA),0000000 - UNDETERMINED PROJECT,PS11 - PATROL AREA 1,51112 - Sworn: Regular," 944,200 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10234 - Theft,Police Services Agency,102340 - Property/Theft,2607 - Department of Justice-COPS Hiring Recovery Program (ARRA),0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,51112 - Sworn: Regular," 62,380 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10711 - Police Area 1,Police Services Agency,107110 - Police Area 1,7780 - Oakland Redevelopment Agency Projects (ORA),P233610 - WEST OAKLAND REPAYMENT,PS11 - PATROL AREA 1,51112 - Sworn: Regular," 139,960 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10711 - Police Area 1,Police Services Agency,107110 - Police Area 1,7780 - Oakland Redevelopment Agency Projects (ORA),P187410 - BROADWAY/MACARTHUR/SAN PABLO,PS11 - PATROL AREA 1,51112 - Sworn: Regular," 68,670 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10771 - Special Operations,Police Services Agency,107710 - Special Operations,7780 - Oakland Redevelopment Agency Projects (ORA),C82620 - COLISEUM,PS11 - PATROL AREA 1,51112 - Sworn: Regular," 314,410 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10771 - Special Operations,Police Services Agency,107710 - Special Operations,7780 - Oakland Redevelopment Agency Projects (ORA),P233210 - CENTRAL  CITY EAST REPAYMENT AGREEMENT,PS11 - PATROL AREA 1,51112 - Sworn: Regular," 359,240 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10711 - Police Area 1,Police Services Agency,107110 - Police Area 1,7780 - Oakland Redevelopment Agency Projects (ORA),C00800 - CENTRAL DISTRICT PLANNING,PS11 - PATROL AREA 1,51112 - Sworn: Regular," 386,930 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50223 - Area One: Recreation Centers,Office of Parks and Recreation,502230 - Area One: Recreation Center Supervision,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,"NB03 - RECREATION, CULTURAL CIVIC",51121 - Temporary: Regular Full Time," 685,710 "
FY10-11,Expense,Estimate,pre-test Midcycle,61339 - District I Administration,Library,No SubUnit,2240 - Library Services Retention-Enhancement,0000000 - UNDETERMINED PROJECT,NB17 - BRANCH LIBRARY SERVICES,51121 - Temporary: Regular Full Time," 16,150 "
FY10-11,Expense,Estimate,pre-test Midcycle,02811 - Budget Division,City Administrator,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP12 - BUDGET ANALYSIS & OPERATIONS,51122 - Temporary: Regular Part Time," 11,960 "
FY10-11,Expense,Estimate,pre-test Midcycle,75241 - Senior Companion Program,Department of Human Services,No SubUnit,1010 - General Fund: General Purpose,G361330 - SCP/FED/CITY MATCH FY10/11,YS14 - EMPOWERING SENIORS & PEOPLE WITH DISABILITY,51122 - Temporary: Regular Part Time," 33,030 "
FY10-11,Expense,Estimate,pre-test Midcycle,61343 - Golden Gate Branch,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB17 - BRANCH LIBRARY SERVICES,51122 - Temporary: Regular Part Time," 10,590 "
FY10-11,Expense,Estimate,pre-test Midcycle,61338 - Temescal Branch,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB17 - BRANCH LIBRARY SERVICES,51122 - Temporary: Regular Part Time," 10,480 "
FY10-11,Expense,Estimate,pre-test Midcycle,61344 - Lakeview Branch,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB17 - BRANCH LIBRARY SERVICES,51122 - Temporary: Regular Part Time," 28,330 "
FY10-11,Expense,Estimate,pre-test Midcycle,61331 - Brookfield Village Branch,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB17 - BRANCH LIBRARY SERVICES,51122 - Temporary: Regular Part Time," 11,280 "
FY10-11,Expense,Estimate,pre-test Midcycle,61334 - Elmhurst Branch,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB17 - BRANCH LIBRARY SERVICES,51122 - Temporary: Regular Part Time," 11,280 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50111 - Office of OPR Director,Office of Parks and Recreation,501110 - Office of OPR Director,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB01 - CENTRAL ADMINISTRATION,51122 - Temporary: Regular Part Time," 126,600 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50238 - Community Gardens,Office of Parks and Recreation,502380 - Community Gardens,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,"NB03 - RECREATION, CULTURAL CIVIC",51122 - Temporary: Regular Part Time," 34,170 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50929 - Ball Fields Maintenance,Office of Parks and Recreation,509290 - Ball Fields Maintenance,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB10 - BALL FIELDS,51122 - Temporary: Regular Part Time," 60,390 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50231 - Aquatics Programs,Office of Parks and Recreation,502311 - Live Oak Aquatics,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB05 - AQUATICS,51122 - Temporary: Regular Part Time," 71,840 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50112 - OPR Administrative Services,Office of Parks and Recreation,501120 - OPR Administrative Services,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB01 - CENTRAL ADMINISTRATION,51122 - Temporary: Regular Part Time," 28,350 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50233 - City-Wide Sports,Office of Parks and Recreation,502330 - City-Wide Sports,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,YS16 - AFTER SCHOOL SPORTS,51122 - Temporary: Regular Part Time," 158,970 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50233 - City-Wide Sports,Office of Parks and Recreation,502331 - Girls Sports,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB04 - COMPETITIVE SPORTS,51122 - Temporary: Regular Part Time," 16,350 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50933 - At-Risk Youth Programs,Office of Parks and Recreation,505810 - Radical Roving Recreation,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,"NB03 - RECREATION, CULTURAL CIVIC",51122 - Temporary: Regular Part Time," 36,140 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50234 - Youth Adult Sports,Office of Parks and Recreation,502340 - Youth Adult Sports,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB04 - COMPETITIVE SPORTS,51122 - Temporary: Regular Part Time," 81,700 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50235 - Boating,Office of Parks and Recreation,502350 - Boating,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IN11 - AQUATICS BOATING,51122 - Temporary: Regular Part Time," 70,610 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50933 - At-Risk Youth Programs,Office of Parks and Recreation,509330 - At-Risk Youth,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB06 - FEATHER RIVER CAMP,51122 - Temporary: Regular Part Time," 21,090 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50233 - City-Wide Sports,Office of Parks and Recreation,502331 - Girls Sports,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,YS16 - AFTER SCHOOL SPORTS,51122 - Temporary: Regular Part Time," 28,880 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50933 - At-Risk Youth Programs,Office of Parks and Recreation,509330 - At-Risk Youth,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,"NB03 - RECREATION, CULTURAL CIVIC",51122 - Temporary: Regular Part Time," 16,720 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50233 - City-Wide Sports,Office of Parks and Recreation,502330 - City-Wide Sports,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IN12 - DAVIES TENNIS & CITYWIDE TENNIS,51122 - Temporary: Regular Part Time," 173,040 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50123 - OPR Personnel,Office of Parks and Recreation,501230 - OPR Personnel,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB01 - CENTRAL ADMINISTRATION,51122 - Temporary: Regular Part Time," 3,990 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50237 - Special Sports Programs,Office of Parks and Recreation,502370 - Area One Special Sports Programs,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,YS16 - AFTER SCHOOL SPORTS,51122 - Temporary: Regular Part Time," 12,360 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50231 - Aquatics Programs,Office of Parks and Recreation,502314 - Temescal Aquatics,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB05 - AQUATICS,51122 - Temporary: Regular Part Time," 131,360 "
FY10-11,Expense,Estimate,pre-test Midcycle,504320 - Malonga Casquelourd,Office of Parks and Recreation,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,CE05 - CULTURAL ARTS,51122 - Temporary: Regular Part Time," 27,170 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50323 - Area Two: Recreation Centers,Office of Parks and Recreation,503238 - San Antonio Recreation Center,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,"NB03 - RECREATION, CULTURAL CIVIC",51122 - Temporary: Regular Part Time," 4,120 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50231 - Aquatics Programs,Office of Parks and Recreation,502315 - Fremont Aquatics,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB05 - AQUATICS,51122 - Temporary: Regular Part Time," 74,950 "
FY10-11,Expense,Estimate,pre-test Midcycle,504330 - Studio One,Office of Parks and Recreation,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,CE05 - CULTURAL ARTS,51122 - Temporary: Regular Part Time," 62,310 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50232 - Tennis,Office of Parks and Recreation,502320 - Tennis,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IN12 - DAVIES TENNIS & CITYWIDE TENNIS,51122 - Temporary: Regular Part Time," 24,720 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50231 - Aquatics Programs,Office of Parks and Recreation,502312 - Dimond Aquatics,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB05 - AQUATICS,51122 - Temporary: Regular Part Time," 133,680 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50231 - Aquatics Programs,Office of Parks and Recreation,502310 - Aquatics Supervision,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB05 - AQUATICS,51122 - Temporary: Regular Part Time," 19,160 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50231 - Aquatics Programs,Office of Parks and Recreation,502313 - Defremery Aquatics,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB05 - AQUATICS,51122 - Temporary: Regular Part Time," 61,620 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50923 - Area Three: Recreation Centers,Office of Parks and Recreation,509232 - Brookdale Recreation Center,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,"NB03 - RECREATION, CULTURAL CIVIC",51122 - Temporary: Regular Part Time," 10,010 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50326 - Feather River Camp,Office of Parks and Recreation,503260 - Feather River Camp,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB02 - CONTRACT MANAGEMENT,51122 - Temporary: Regular Part Time," 42,660 "
FY10-11,Expense,Estimate,pre-test Midcycle,504410 - City-Wide Programs,Office of Parks and Recreation,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,CE05 - CULTURAL ARTS,51122 - Temporary: Regular Part Time," 73,630 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50234 - Youth Adult Sports,Office of Parks and Recreation,502340 - Youth Adult Sports,1010 - General Fund: General Purpose,P184210 - ADULT SPORTS,NB04 - COMPETITIVE SPORTS,51122 - Temporary: Regular Part Time," 7,920 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10313 - Animal Shelter,Police Services Agency,103130 - Animal Shelter,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS13 - SPECIAL OPERATIONS,51122 - Temporary: Regular Part Time," 233,390 "
FY10-11,Expense,Estimate,pre-test Midcycle,30652 - Landscape Maintenance,Public Works Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB07 - GROUNDS,51122 - Temporary: Regular Part Time," 256,010 "
FY10-11,Expense,Estimate,pre-test Midcycle,30652 - Landscape Maintenance,Public Works Agency,No SubUnit,1720 - Comprehensive Clean-up,0000000 - UNDETERMINED PROJECT,NB07 - GROUNDS,51122 - Temporary: Regular Part Time," 390,640 "
FY10-11,Expense,Estimate,pre-test Midcycle,61231 - Art / History / Literature,Library,No SubUnit,1760 - Telecommunications Reserve,0000000 - UNDETERMINED PROJECT,NB16 - MAIN LIBRARY SERVICES,51122 - Temporary: Regular Part Time," 11,850 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50323 - Area Two: Recreation Centers,Office of Parks and Recreation,503232 - Dimond Recreation Center,1820 - OPRCA Self Sustaining Revolving Fund,P52711 - DIMOND MAIN,"NB03 - RECREATION, CULTURAL CIVIC",51122 - Temporary: Regular Part Time," 99,790 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50226 - Rotary Nature Center,Office of Parks and Recreation,502260 - Rotary Nature Center,1820 - OPRCA Self Sustaining Revolving Fund,0000000 - UNDETERMINED PROJECT,CE05 - CULTURAL ARTS,51122 - Temporary: Regular Part Time," 18,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50226 - Rotary Nature Center,Office of Parks and Recreation,502260 - Rotary Nature Center,1820 - OPRCA Self Sustaining Revolving Fund,0000000 - UNDETERMINED PROJECT,"NB03 - RECREATION, CULTURAL CIVIC",51122 - Temporary: Regular Part Time," 68,850 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50323 - Area Two: Recreation Centers,Office of Parks and Recreation,503235 - Manzanita Recreation Center,1820 - OPRCA Self Sustaining Revolving Fund,P52611 - ELEMENTARY PROG MAIN,"NB03 - RECREATION, CULTURAL CIVIC",51122 - Temporary: Regular Part Time," 2,300 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50323 - Area Two: Recreation Centers,Office of Parks and Recreation,503237 - FM Smith Recreation Center,1820 - OPRCA Self Sustaining Revolving Fund,P54213 - TINY TOTS,"NB03 - RECREATION, CULTURAL CIVIC",51122 - Temporary: Regular Part Time," 4,780 "
FY10-11,Expense,Estimate,pre-test Midcycle,504410 - City-Wide Programs,Office of Parks and Recreation,No SubUnit,1820 - OPRCA Self Sustaining Revolving Fund,0000000 - UNDETERMINED PROJECT,"NB03 - RECREATION, CULTURAL CIVIC",51122 - Temporary: Regular Part Time," 54,410 "
